figure,name,figurePartId,refs,partNumber,description,quantity,mappedPointers,numericContours,retainedMasks,labelOnly,baselinePointers,addedPointers,remainingExpected,countStatus,reviewRequired,sourceReview,sourceEvidence,remarks,drawing,reviewUrl
"fig-filters-1-1","Filters","fp-1-1-01","1","36-00304","Air filter element, powersports, round taper, clamp-on, cotton gauze, oiled, red, 6.00 in. od, 3.00 in. id, 3.00 in. tall, rubber cap, each","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-filters-1-1.png","/review/figures/fig-filters-1-1"
"fig-filters-1-1","Filters","fp-1-1-02","2","31-00469","Hatz fuel filter element with seals","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-filters-1-1.png","/review/figures/fig-filters-1-1"
"fig-filters-1-1","Filters","fp-1-1-03","3","56-00007","Hydraulic oil cartridge","2","1","1","0","0","1","0","1","shortfall","true","","Representative filter plate contains one orange hydraulic cartridge only; the two physical installation instances are depicted in Hydraulic 4.1, not duplicated on Filters 1.1.","","/drawings/ft3w/ft3w-filters-1-1.png","/review/figures/fig-filters-1-1"
"fig-filters-1-1","Filters","fp-1-1-04","4","35-00068","Air filter donaldson","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-filters-1-1.png","/review/figures/fig-filters-1-1"
"fig-filters-1-1","Filters","fp-1-1-05","5","30-00040","Hatz oil filter","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-filters-1-1.png","/review/figures/fig-filters-1-1"
"fig-filters-1-1","Filters","fp-1-1-06","6","31-00471","Fuel pre filter hatz edg","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-filters-1-1.png","/review/figures/fig-filters-1-1"
"fig-frame-assy-2-1","Bumper and hitch receiver","fp-2-1-01","1","82-00127","Pintle hook","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","TOW PACKAGE OPTION (88-00023)","/drawings/ft3w/review-source-20260908/ft3w-frame-assy-2-1.png","/review/figures/fig-frame-assy-2-1"
"fig-frame-assy-2-1","Bumper and hitch receiver","fp-2-1-02","2","10-404012-122","Hex drive flat head m4 x 0.7 x 12 zinc plated class 10.9","3","2","2","0","0","1","1","1","shortfall","true","","Source table explicitly states: MIDDLE NOT SHOWN. No contours invented for these omitted locations.","MIDDLE NOT SHOWN","/drawings/ft3w/review-source-20260908/ft3w-frame-assy-2-1.png","/review/figures/fig-frame-assy-2-1"
"fig-frame-assy-2-1","Bumper and hitch receiver","fp-2-1-03","3","13-110020-122","Zinc-plated steel washer, din 125, m10 screw size, 10.5 mm id, 20 mm od","3","2","2","0","0","1","1","1","shortfall","true","","Source table explicitly states: MIDDLE NOT SHOWN. No contours invented for these omitted locations.","MIDDLE NOT SHOWN","/drawings/ft3w/review-source-20260908/ft3w-frame-assy-2-1.png","/review/figures/fig-frame-assy-2-1"
"fig-frame-assy-2-1","Bumper and hitch receiver","fp-2-1-04","4","12-210000-12","M10 hex flanged nut","3","2","2","0","0","1","1","1","shortfall","true","","Source table explicitly states: MIDDLE NOT SHOWN. No contours invented for these omitted locations.","MIDDLE NOT SHOWN","/drawings/ft3w/review-source-20260908/ft3w-frame-assy-2-1.png","/review/figures/fig-frame-assy-2-1"
