Part number,Description,Systems,Figures,Total qty
10-006030-120,M6 BOLT,CABIN,FIG 6.7,4
10-008020-120,M8 X 20 FLANGED BOLT,CABIN,FIG 6.14,3
10-008035-120,M8 BUTTON HEAD BOLT,HYDRAULIC,FIG 4.3,2
10-106014-121,M6 SIDE PANEL BOLT,COWLING & FENDER,FIG 7.2,72
10-106050-121,M6 HEX SCREW,HYDRAULIC,FIG 4.2,4
10-108130-121,A/C COMPRESSOR MOUNTING BOLTS,ENGINE,FIG 8.2,4
10-110120-121,M10 ALTERNATOR SCREW,ENGINE,FIG 8.2,1
10-206016-122,M6 FLANGE BOLT,ENGINE,FIG 8.4,6
10-208030-122,M8 BOLT,HYDRAULIC,FIG 4.3,2
10-210090-121,M10 BOLT,ENGINE,FIG 8.1,2
10-305025-123,M5 BOLT,FUEL SYSTEM,FIG 9.1,10
10-408010-122,M8 BUTTOM PANEL FLAT HEAD,COWLING & FENDER,FIG 7.2,20
10-504020-120,DOOR STOPPER SCREW,FRAME ASSY,FIG 2.2,4
10-710050-145,M12 THREADED ROD STUDS,FRAME ASSY,FIG 2.2,4
10-908025-121,"TORKS BUTTON HEAD SCREW, M8",TIRE & WHEEL,FIG 5.1,8
12-210000-12,M10 HEX FLANGED NUT,FRAME ASSY,FIG 2.1,3
12-610000-112,M10 THIN HEX NUT,CABIN,FIG 6.4 · FIG 6.5,2
13-110020-120,M10 WASHER,ENGINE,FIG 8.2,2
13-210027-120,M10 WASHER,ENGINE,FIG 8.1,2
17-00086,RIGHT LATCH CABLE,CABIN,FIG 6.6,1
17-00119,CABLE ASSEMBLY,CABIN,FIG 6.6,1
17-00125,LEFT PUSH TO CLOSE LATCH,CABIN,FIG 6.7,1
17-00126,RIGHT PUSH TO CLOSE LATCH,CABIN,FIG 6.7,1
17-00133,NON LOCKING PUSH BUTTON,CABIN,FIG 6.6 · FIG 6.8,2
17-00150,FRONT PUSH BUTTON HANDLE,CABIN,FIG 6.7,1
17-00151,REAR PUSH BUTTON HANDLE,CABIN,FIG 6.7,1
18-00042,M10 PRECISION SCREW,CABIN,FIG 6.8,4
18-00053,M10 ALLOY STEEL SHOULDER SCREWS,CABIN,FIG 6.7,2
18-00112,8.5MM SHOULDER SCREW,CABIN,FIG 6.11,4
18-00174,M10 X 45 SHOULDER BOLT,CABIN,FIG 6.4 · FIG 6.5,2
19-00081,VIBRATION DAMPING CLAMP,ENGINE,FIG 8.5,4
19-00212,OIL RESISTANT O-RING,TIRE & WHEEL,FIG 5.1,1
19-00235,VIBRATION DAMPING CLAMP,ENGINE,FIG 8.6,3
19-00340,PLUG,HYDRAULIC,FIG 4.1,1
19-00473,RUBBER MOUNT,ENGINE · HYDRAULIC,FIG 4.3 · FIG 8.6,8
19-00474,WASHER,ENGINE · HYDRAULIC,FIG 4.3 · FIG 8.6,12
19-00511,OIL RESISTANT O-RING,DRIVE SYSTEM · TIRE & WHEEL,FIG 3.1 · FIG 5.1,2
19-00532,CYLINDRIQUES AMC MECANOCAUCHO PLOTS,FUEL SYSTEM,FIG 9.1,4
19-00539,M8 GRIP KNOB,CABIN,FIG 6.11,2
19-00626,SLOTTED UNTHREADED SPACER,CABIN,FIG 6.17,4
19-00712,"HOSE/TUBE SEAL CLAMP 1-5/8"" TO 1-7/8""",ENGINE,FIG 8.6,1
19-00739,RADIATOR BUSHING SUPPORT,ENGINE · HYDRAULIC,FIG 4.2 · FIG 8.5,6
19-00798,ALUMINUM UNTHREADED SPACER,CABIN,FIG 6.17,4
23-00068,WHEEL LUG PLATE,TIRE & WHEEL,FIG 5.1,1
23-00157,WHEEL SEALING KIT,TIRE & WHEEL,FIG 5.1,1
30-00116,ELECTRONIC CARD PLATE,ELECTRIC,FIG 11.3,1
31-00368,BRASS BARBED HOSE FITTING,TIRE INFLATION SYSTEM,FIG 10.1,1
31-00379,OIL/FUEL TANK,FUEL SYSTEM,FIG 9.1,1
31-00394,LEVEL SENDER,FUEL SYSTEM,FIG 9.1,2
31-00417,"1-1/2"" FUEL FILL HOSE",FUEL SYSTEM,FIG 9.1,1
31-00422,FUEL SENDER TUBE,FUEL SYSTEM,FIG 9.1,2
31-00442,FUEL NECK,FUEL SYSTEM,FIG 9.1,1
31-00499,ALTERNATOR PULLEY,ENGINE,FIG 8.1,1
32-00169,DPF FLANGE,ENGINE,FIG 8.4,2
32-00198,DPF SUPPORT,ENGINE,FIG 8.4,2
32-00200,EXHAUST PIPE,ENGINE,FIG 8.4,1
32-00201,EXHAUST COOLING TIP,ENGINE,FIG 8.4,1
32-00203,DPF FLEX PIPE,ENGINE,FIG 8.4,1
32-00227,FLEX PIPE AND TURBO BLANKET,ENGINE,FIG 8.4,1
32-00228,EXHAUST PIPE BLANKET,ENGINE,FIG 8.4,1
34-00160,90 DEG ELBOW COUPLER HOSE,ENGINE,FIG 8.6,2
34-00161,SILICONE ELBOW COUPLER,ENGINE,FIG 8.5,3
34-00162,ELBOW 45O,ENGINE,FIG 8.5,1
34-00280,90 DEG ELBOW REDUCER HOSE,ENGINE,FIG 8.5,1
34-00576,LEVEL INDICATOR,HYDRAULIC,FIG 4.2,1
34-00582,RADIATOR,HYDRAULIC,FIG 4.2,1
34-00596,FAN MOTOR SUPPORT,HYDRAULIC,FIG 4.2,1
34-00599,FAN SHROUD,HYDRAULIC,FIG 4.2,1
34-00631,"CAC, SHROUD & FANS ASSEMBLY",ENGINE,FIG 8.6,1
34-00649,SILICONE COUPLER,ENGINE,FIG 8.6,1
34-00650,SILICONE STRAIGHT REDUCER COUPLER HOSE,ENGINE,FIG 8.6,1
34-00697,CHARGE AIR SUPPLY,ENGINE,FIG 8.6,1
34-00718,TENSION SPRING BAND CLAMP,ENGINE,FIG 8.5,11
34-00778,FAN SPACER,HYDRAULIC,FIG 4.2,2
34-00781,"RAD, SHROUD & MOTOR SUPPORT ASSY",ENGINE,FIG 8.5,1
34-00801,CHARGE AIR SUPPLY,ENGINE,FIG 8.6,1
34-00851,HYDRAULIC OIL COOLER,HYDRAULIC,FIG 4.3,1
34-00906,RADIATOR INLET PIPE,ENGINE,FIG 8.5,1
34-00907,RADIATOR INLET PIPE,ENGINE,FIG 8.5,1
34-00908,RADIATOR OUTLET PIPE,ENGINE,FIG 8.5,1
34-00909,CHARGE AIR RETURN,ENGINE,FIG 8.6,1
34-00910,CHARGE AIR RETURN,ENGINE,FIG 8.6,1
34-00945,COOLANT HOSE CONNECTOR,ENGINE,FIG 8.5,1
34-00946,RADIATOR MOUNT,ENGINE · HYDRAULIC,FIG 4.2 · FIG 8.5,6
34-00947,UPPER RADIATOR SUPPORT,ENGINE · HYDRAULIC,FIG 4.2 · FIG 8.5,4
34-00964,DOUBLE PULLEY,ENGINE,FIG 8.1,1
35-00092,"STAINLESS STEEL BOLT CLAMP 2-3/16"" TO 2-1/1""",ENGINE,FIG 8.6,7
35-00096,STAINLESS STEEL BOLT CLAMP,ENGINE,FIG 8.6,2
36-00136,FITTING,TIRE INFLATION SYSTEM,FIG 10.1,1
36-00283,BLOWER PIPE,TIRE INFLATION SYSTEM,FIG 10.2,1
36-00294,THREADED PIPE NIPPLE,TIRE INFLATION SYSTEM,FIG 10.1,1
36-00315,BLOWER INTAKE,TIRE INFLATION SYSTEM,FIG 10.2,1
36-00332,TIRE INFLATION MANIFOLD,TIRE INFLATION SYSTEM,FIG 10.1,1
36-00335,90 DEG THREAD TO HOSE BARB,TIRE INFLATION SYSTEM,FIG 10.1,1
36-00337,54MM IDLER PULLEY,ENGINE,FIG 8.1,1
36-00338,IDLER MOUNT,ENGINE,FIG 8.1,3
38-00010,ACCESSORY BELT,ENGINE,FIG 8.1,1
38-00013,ACCESSORY BELT,ENGINE,FIG 8.1,1
39-00142,BELT TENSIONER,ENGINE,FIG 8.1,2
39-00148,SUPPORT HYDRAULIC,ENGINE,FIG 8.3,5
39-00196,HATZ MAIN RELAY BOARD ASSY,ELECTRIC,FIG 11.3,1
39-00197,GLOW PLUG RELAY 12V,ELECTRIC,FIG 11.3,1
40-00011,HOLE PLUG FOR V-SERIES BK,ELECTRIC,FIG 11.3,4
